Instances,feature_Max_Normalized_Entropy_attributes,feature_Normalized_Entropy_Class_Attribute,feature_Mean_Mutual_Information_Attribute_Class,feature_ErrorRate_Decision_Node,feature_WeightedDist_StdDev,feature_Max_Feature_Efficiency_F3,feature_Collective_Feature_Efficiency_F4,feature_Training_Error_Linear_Classifier_L2,feature_Fraction_Points_Class_Boundary_N1,feature_Nonlinearity_Nearest_Neighbor_Classifier_N4,algo_NB,algo_LDA,algo_QDA,algo_CART,algo_J48,algo_KNN,algo_L_SVM,algo_poly_SVM,algo_RBF_SVM,algo_RandF
abalone,0.332548382,0.131686939,0.229928422,0.386458668,2.343235444,0.076929217,0.095203899,0.260234614,0.404836009,0.327388088,0.280095763,0.239715007,0.25401222,0.24533949,0.256491398,0.256969153,0.230584159,0.277410974,0.221197935,0.234432252
abalone_ori,0.332548382,0.299462243,0.368703934,0.210409617,2.343235444,0.50069256,0.555473845,0.035714286,0.082629366,0.357112931,0.164181841,0.159576582,0.895471859,0.172974565,0.165282465,0.167112964,0.171518048,0.178772695,0.169919128,0.895471859
appendicitis,0.297230504,0.106740029,0.105273646,0.141818182,0.74500904,0.292452842,0.754716992,0.198113203,0.292452842,0.21226418,0.141818182,0.123636364,0.17,0.162727273,0.132727273,0.178181818,0.123636364,0.123636364,0.132727273,0.132727273
asbestos,0.313964586,0.202552458,0.146190931,0.219275068,0.814613257,0.134146345,0.134146345,0.154471539,0.357723574,0.288617889,0.253285908,0.264329268,0.554844173,0.264329268,0.264329268,0.24695122,0.264329268,0.229573171,0.231402439,0.244275068
audiology_std,0.279462824,0.437579089,0.100075974,0.240354682,0.690097407,0.827617997,0.966261032,0.031710915,0.041482302,0.030696906,0.03496712,0.859129385,0.859129385,0.060208472,0.0380085,0.072297912,0.035244325,0.265880234,0.151676344,0.859129385
australian,0.318098407,0.105109579,0.061351127,0.444927536,1.089738505,0.033333335,0.052173913,0.144927531,0.2768116,0.177536249,0.226086957,0.146376812,0.493934047,0.146376812,0.149275362,0.160869565,0.147826087,0.142028986,0.147826087,0.136231884
auto1,0.100338699,0.08280669,0.002596579,0.259,0.531095773,0,0,0.259000003,0.462000012,0.250999987,0.272,0.27,0.383838,0.204,0.232,0.266,0.259,0.259,0.259,0.226
auto2,0.330554605,0.070722446,0.000474792,0.3565,0.527874921,0.0011,0.007799999,0.3565,0.616299987,0,0.3791,0.375,0.4588155,0.3565,0.4552,0.4329,0.3565,0.3565,0.3565,0.3565
auto4,0.327826538,0.116754864,0.003426668,0.47423296,0.482571285,0.008533333,0.051599997,0.288933342,0.496266653,0.000133316,0.36111984,0.36228448,0.56903904,0.33514816,0.21052336,0.45460176,0.3647184,0.45986368,0.37016896,0.32156224
auto5,0.31311033,0.169234847,0.018943198,0.342888,0.239389722,0.172500005,0.854500011,0.179000006,0.377,0,0.35256,0.3909,0.58492,0.280636,0.33226,0.391028,0.397544,0.342888,0.332152,0.283208
